prec,Date
0.001065009,1990-01-07
0.0,1990-01-14
0.0,1990-01-21
0.27998757,1990-01-28
0.6788784,1990-02-04
0.27321005,1990-02-11
0.9860903,1990-02-18
0.0015503474,1990-02-25
0.3472827,1990-03-04
0.683861,1990-03-11
0.8514589,1990-03-18
1.8493904,1990-03-25
3.0773568,1990-04-01
7.738272,1990-04-08
3.8113065,1990-04-15
14.896708,1990-04-22
1.2340181,1990-04-29
0.3135907,1990-05-06
1.6305172,1990-05-13
5.2634115,1990-05-20
12.403302,1990-05-27
1.7437973,1990-06-03
2.133324,1990-06-10
4.3420315,1990-06-17
1.1598014,1990-06-24
2.4850953,1990-07-01
0.44622794,1990-07-08
1.2401221,1990-07-15
0.9192664,1990-07-22
2.6660223,1990-07-29
1.1569618,1990-08-05
3.790464,1990-08-12
1.4772726,1990-08-19
2.8235407,1990-08-26
3.4483771,1990-09-02
0.013591111,1990-09-09
0.37553722,1990-09-16
0.14912125,1990-09-23
1.7765751,1990-09-30
5.340005,1990-10-07
4.5356736,1990-10-14
14.917478,1990-10-21
3.8841286,1990-10-28
1.2353333,1990-11-04
0.001977212,1990-11-11
0.006760952,1990-11-18
5.180738,1990-11-25
2.0891337,1990-12-02
4.689092,1990-12-09
3.8670564,1990-12-16
0.064607725,1990-12-23
0.14495404,1990-12-30
0.11497531,1991-01-06
0.7564873,1991-01-13
5.8180385,1991-01-20
0.24214785,1991-01-27
0.09339461,1991-02-03
1.32488,1991-02-10
0.2893792,1991-02-17
0.054942787,1991-02-24
2.0826824,1991-03-03
13.75736,1991-03-10
1.6968647,1991-03-17
5.4029355,1991-03-24
8.2652025,1991-03-31
4.182849,1991-04-07
0.0707913,1991-04-14
5.8670754,1991-04-21
5.020578,1991-04-28
11.44445,1991-05-05
7.9975348,1991-05-12
0.48205805,1991-05-19
0.19038849,1991-05-26
0.80236244,1991-06-02
0.84212863,1991-06-09
0.5242747,1991-06-16
1.4915544,1991-06-23
0.42048866,1991-06-30
0.656177,1991-07-07
1.4613634,1991-07-14
0.16829088,1991-07-21
0.820442,1991-07-28
0.96956766,1991-08-04
1.6073517,1991-08-11
0.6406595,1991-08-18
0.14692013,1991-08-25
0.3755303,1991-09-01
0.1259886,1991-09-08
6.0202804,1991-09-15
0.45682782,1991-09-22
8.65766,1991-09-29
6.7657456,1991-10-06
11.595659,1991-10-13
2.8092747,1991-10-20
0.18853101,1991-10-27
0.65962523,1991-11-03
0.37932605,1991-11-10
1.3843645,1991-11-17
1.038013,1991-11-24
0.18785118,1991-12-01
0.065218106,1991-12-08
0.007882254,1991-12-15
0.2148886,1991-12-22
0.030912155,1991-12-29
0.013554491,1992-01-05
1.8243186,1992-01-12
0.26515567,1992-01-19
4.783179,1992-01-26
0.46917057,1992-02-02
0.022890909,1992-02-09
1.7356011,1992-02-16
0.0026251657,1992-02-23
0.5237124,1992-03-01
0.23141415,1992-03-08
0.03702112,1992-03-15
0.024279512,1992-03-22
1.8507812,1992-03-29
8.574566,1992-04-05
5.1901383,1992-04-12
1.1198784,1992-04-19
0.017217772,1992-04-26
2.8367126,1992-05-03
0.97291565,1992-05-10
0.72068083,1992-05-17
6.5610704,1992-05-24
2.8233333,1992-05-31
9.214659,1992-06-07
4.842223,1992-06-14
5.8585024,1992-06-21
7.1882124,1992-06-28
3.0291252,1992-07-05
4.331785,1992-07-12
0.025012206,1992-07-19
2.3165565,1992-07-26
1.133256,1992-08-02
1.1266009,1992-08-09
1.9826638,1992-08-16
0.7451348,1992-08-23
3.5460815,1992-08-30
0.6425876,1992-09-06
1.8882487,1992-09-13
0.11283245,1992-09-20
8.993619,1992-09-27
15.275426,1992-10-04
14.566706,1992-10-11
5.29642,1992-10-18
2.7608407,1992-10-25
3.3072066,1992-11-01
1.4343622,1992-11-08
0.44938698,1992-11-15
1.0474164,1992-11-22
0.056604873,1992-11-29
1.2522016,1992-12-06
4.5679255,1992-12-13
0.02451635,1992-12-20
0.1071674,1992-12-27
0.11061903,1993-01-03
0.0067523145,1993-01-10
0.046912163,1993-01-17
0.003936931,1993-01-24
0.11784692,1993-01-31
0.0047284807,1993-02-07
0.47206894,1993-02-14
0.0617557,1993-02-21
1.8274254,1993-02-28
13.404945,1993-03-07
0.1528218,1993-03-14
0.1213064,1993-03-21
1.8772106,1993-03-28
9.433876,1993-04-04
1.4652493,1993-04-11
1.3859425,1993-04-18
3.6436172,1993-04-25
23.309261,1993-05-02
3.2925897,1993-05-09
5.075883,1993-05-16
2.3345618,1993-05-23
0.49487266,1993-05-30
0.59514916,1993-06-06
3.9529502,1993-06-13
0.09752579,1993-06-20
2.8294647,1993-06-27
5.5170884,1993-07-04
4.0543466,1993-07-11
0.067388915,1993-07-18
0.9647274,1993-07-25
0.28134426,1993-08-01
0.9093984,1993-08-08
1.8232094,1993-08-15
0.71520436,1993-08-22
4.4985557,1993-08-29
0.04339431,1993-09-05
