codice_parametro_arpa;categoria_parametro_arpa;codice_punto;data_misura;ora_misura;anno_monitoraggio;valore;valore_validato;gwbregcod;data
P00010;A;00417910001;2001-01-11;00:00:00;2001;4,13;4,13;GWB-S6;2001-01-11 00:00:00
P00010;A;00417910001;2001-01-11;16:00:00;2001;4,2;4,2;GWB-S6;2001-01-11 16:00:00
P00010;A;00417910001;2001-01-11;20:00:00;2001;4,17;4,17;GWB-S6;2001-01-11 20:00:00
P00010;A;00417910001;2001-01-12;00:00:00;2001;4,13;4,13;GWB-S6;2001-01-12 00:00:00
P00010;A;00417910001;2001-01-12;04:00:00;2001;4,19;4,19;GWB-S6;2001-01-12 04:00:00
P00010;A;00417910001;2001-01-12;08:00:00;2001;4,1;4,1;GWB-S6;2001-01-12 08:00:00
P00010;A;00417910001;2001-01-12;12:00:00;2001;4,12;4,12;GWB-S6;2001-01-12 12:00:00
P00010;A;00417910001;2001-01-12;16:00:00;2001;4,2;4,2;GWB-S6;2001-01-12 16:00:00
P00010;A;00417910001;2001-01-12;20:00:00;2001;4,25;4,25;GWB-S6;2001-01-12 20:00:00
P00010;A;00417910001;2001-01-13;00:00:00;2001;4,13;4,13;GWB-S6;2001-01-13 00:00:00
P00010;A;00417910001;2001-01-13;04:00:00;2001;4,18;4,18;GWB-S6;2001-01-13 04:00:00
P00010;A;00417910001;2001-01-13;08:00:00;2001;4,09;4,09;GWB-S6;2001-01-13 08:00:00
P00010;A;00417910001;2001-01-13;12:00:00;2001;4,07;4,07;GWB-S6;2001-01-13 12:00:00
P00010;A;00417910001;2001-01-13;16:00:00;2001;4,05;4,05;GWB-S6;2001-01-13 16:00:00
P00010;A;00417910001;2001-01-13;20:00:00;2001;4,04;4,04;GWB-S6;2001-01-13 20:00:00
P00010;A;00417910001;2001-01-14;00:00:00;2001;4,03;4,03;GWB-S6;2001-01-14 00:00:00
P00010;A;00417910001;2001-01-14;04:00:00;2001;4,02;4,02;GWB-S6;2001-01-14 04:00:00
P00010;A;00417910001;2001-01-14;08:00:00;2001;4,01;4,01;GWB-S6;2001-01-14 08:00:00
P00010;A;00417910001;2001-01-14;12:00:00;2001;4,01;4,01;GWB-S6;2001-01-14 12:00:00
P00010;A;00417910001;2001-01-14;16:00:00;2001;4;4;GWB-S6;2001-01-14 16:00:00
