codice_parametro_arpa;categoria_parametro_arpa;codice_punto;data_misura;ora_misura;anno_monitoraggio;valore;valore_validato;gwbregcod;data
P00010;A;00425010001;2001-07-12;00:00:00;2001;4,01;4,01;GWB-S6;2001-07-12 00:00:00
P00010;A;00425010001;2001-07-12;12:00:00;2001;4,48;4,48;GWB-S6;2001-07-12 12:00:00
P00010;A;00425010001;2001-07-12;18:00:00;2001;4,06;4,06;GWB-S6;2001-07-12 18:00:00
P00010;A;00425010001;2001-07-13;00:00:00;2001;4,01;4,01;GWB-S6;2001-07-13 00:00:00
P00010;A;00425010001;2001-07-13;06:00:00;2001;3,99;3,99;GWB-S6;2001-07-13 06:00:00
P00010;A;00425010001;2001-07-13;12:00:00;2001;3,99;3,99;GWB-S6;2001-07-13 12:00:00
P00010;A;00425010001;2001-07-13;18:00:00;2001;3,98;3,98;GWB-S6;2001-07-13 18:00:00
P00010;A;00425010001;2001-07-14;00:00:00;2001;3,98;3,98;GWB-S6;2001-07-14 00:00:00
P00010;A;00425010001;2001-07-14;06:00:00;2001;3,98;3,98;GWB-S6;2001-07-14 06:00:00
P00010;A;00425010001;2001-07-14;12:00:00;2001;4,44;4,44;GWB-S6;2001-07-14 12:00:00
P00010;A;00425010001;2001-07-14;18:00:00;2001;4,13;4,13;GWB-S6;2001-07-14 18:00:00
P00010;A;00425010001;2001-07-15;00:00:00;2001;4,05;4,05;GWB-S6;2001-07-15 00:00:00
P00010;A;00425010001;2001-07-15;06:00:00;2001;4,04;4,04;GWB-S6;2001-07-15 06:00:00
P00010;A;00425010001;2001-07-15;12:00:00;2001;4,05;4,05;GWB-S6;2001-07-15 12:00:00
P00010;A;00425010001;2001-07-15;18:00:00;2001;4,01;4,01;GWB-S6;2001-07-15 18:00:00
P00010;A;00425010001;2001-07-16;00:00:00;2001;4,01;4,01;GWB-S6;2001-07-16 00:00:00
P00010;A;00425010001;2001-07-16;06:00:00;2001;4,01;4,01;GWB-S6;2001-07-16 06:00:00
P00010;A;00425010001;2001-07-16;12:00:00;2001;4,48;4,48;GWB-S6;2001-07-16 12:00:00
P00010;A;00425010001;2001-07-16;18:00:00;2001;4,61;4,61;GWB-S6;2001-07-16 18:00:00
P00010;A;00425010001;2001-07-17;00:00:00;2001;4,1;4,1;GWB-S6;2001-07-17 00:00:00
P00010;A;00425010001;2001-07-17;06:00:00;2001;4,07;4,07;GWB-S6;2001-07-17 06:00:00
P00010;A;00425010001;2001-07-17;12:00:00;2001;4,22;4,22;GWB-S6;2001-07-17 12:00:00
P00010;A;00425010001;2001-07-17;18:00:00;2001;4,4;4,4;GWB-S6;2001-07-17 18:00:00
P00010;A;00425010001;2001-07-18;00:00:00;2001;4,09;4,09;GWB-S6;2001-07-18 00:00:00
P00010;A;00425010001;2001-07-18;06:00:00;2001;4,09;4,09;GWB-S6;2001-07-18 06:00:00
P00010;A;00425010001;2001-07-18;12:00:00;2001;4,12;4,12;GWB-S6;2001-07-18 12:00:00
P00010;A;00425010001;2001-07-18;18:00:00;2001;4,13;4,13;GWB-S6;2001-07-18 18:00:00
P00010;A;00425010001;2001-07-19;00:00:00;2001;4,08;4,08;GWB-S6;2001-07-19 00:00:00
P00010;A;00425010001;2001-07-19;06:00:00;2001;4,08;4,08;GWB-S6;2001-07-19 06:00:00
P00010;A;00425010001;2001-07-19;12:00:00;2001;4,19;4,19;GWB-S6;2001-07-19 12:00:00
P00010;A;00425010001;2001-07-19;18:00:00;2001;4,49;4,49;GWB-S6;2001-07-19 18:00:00
P00010;A;00425010001;2001-07-20;00:00:00;2001;4,16;4,16;GWB-S6;2001-07-20 00:00:00
P00010;A;00425010001;2001-07-20;06:00:00;2001;4,14;4,14;GWB-S6;2001-07-20 06:00:00
P00010;A;00425010001;2001-07-20;12:00:00;2001;4,18;4,18;GWB-S6;2001-07-20 12:00:00
P00010;A;00425010001;2001-07-20;18:00:00;2001;4,13;4,13;GWB-S6;2001-07-20 18:00:00
P00010;A;00425010001;2001-07-21;00:00:00;2001;4,12;4,12;GWB-S6;2001-07-21 00:00:00
P00010;A;00425010001;2001-07-21;06:00:00;2001;4,11;4,11;GWB-S6;2001-07-21 06:00:00
P00010;A;00425010001;2001-07-21;12:00:00;2001;4,56;4,56;GWB-S6;2001-07-21 12:00:00
P00010;A;00425010001;2001-07-21;18:00:00;2001;4,23;4,23;GWB-S6;2001-07-21 18:00:00
P00010;A;00425010001;2001-07-22;00:00:00;2001;4,15;4,15;GWB-S6;2001-07-22 00:00:00
P00010;A;00425010001;2001-07-22;06:00:00;2001;4,14;4,14;GWB-S6;2001-07-22 06:00:00
P00010;A;00425010001;2001-07-22;12:00:00;2001;4,12;4,12;GWB-S6;2001-07-22 12:00:00
P00010;A;00425010001;2001-07-22;18:00:00;2001;4,13;4,13;GWB-S6;2001-07-22 18:00:00
P00010;A;00425010001;2001-07-23;00:00:00;2001;4,11;4,11;GWB-S6;2001-07-23 00:00:00
P00010;A;00425010001;2001-07-23;06:00:00;2001;4,1;4,1;GWB-S6;2001-07-23 06:00:00
P00010;A;00425010001;2001-07-23;12:00:00;2001;4,14;4,14;GWB-S6;2001-07-23 12:00:00
P00010;A;00425010001;2001-07-23;18:00:00;2001;4,24;4,24;GWB-S6;2001-07-23 18:00:00
P00010;A;00425010001;2001-07-24;00:00:00;2001;4,15;4,15;GWB-S6;2001-07-24 00:00:00
P00010;A;00425010001;2001-07-24;06:00:00;2001;4,13;4,13;GWB-S6;2001-07-24 06:00:00
P00010;A;00425010001;2001-07-24;12:00:00;2001;4,11;4,11;GWB-S6;2001-07-24 12:00:00
P00010;A;00425010001;2001-07-24;18:00:00;2001;4,11;4,11;GWB-S6;2001-07-24 18:00:00
P00010;A;00425010001;2001-07-25;00:00:00;2001;4,1;4,1;GWB-S6;2001-07-25 00:00:00
P00010;A;00425010001;2001-07-25;06:00:00;2001;4,1;4,1;GWB-S6;2001-07-25 06:00:00
P00010;A;00425010001;2001-07-25;12:00:00;2001;4,1;4,1;GWB-S6;2001-07-25 12:00:00
P00010;A;00425010001;2001-07-25;18:00:00;2001;4,12;4,12;GWB-S6;2001-07-25 18:00:00
P00010;A;00425010001;2001-07-26;00:00:00;2001;4,11;4,11;GWB-S6;2001-07-26 00:00:00
P00010;A;00425010001;2001-07-26;06:00:00;2001;4,1;4,1;GWB-S6;2001-07-26 06:00:00
P00010;A;00425010001;2001-07-26;12:00:00;2001;4,1;4,1;GWB-S6;2001-07-26 12:00:00
P00010;A;00425010001;2001-07-26;18:00:00;2001;4,1;4,1;GWB-S6;2001-07-26 18:00:00
P00010;A;00425010001;2001-07-27;00:00:00;2001;4,1;4,1;GWB-S6;2001-07-27 00:00:00
P00010;A;00425010001;2001-07-27;06:00:00;2001;4,1;4,1;GWB-S6;2001-07-27 06:00:00
P00010;A;00425010001;2001-07-27;12:00:00;2001;4,12;4,12;GWB-S6;2001-07-27 12:00:00
P00010;A;00425010001;2001-07-27;18:00:00;2001;4,16;4,16;GWB-S6;2001-07-27 18:00:00
